Date,Hour,Temperature(째C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(째C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
01/11/2018,0,5.7,62,2.3,1909,-1.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,298.7005701727857
01/11/2018,1,5.1,65,1.6,1932,-0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,241.38609014322392
01/11/2018,2,4.4,64,,2000,-1.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,219.45475586834766
01/11/2018,3,4.2,65,0.7,1962,-1.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,140.13022015790585
01/11/2018,4,3.6,70,0.8,1934,-1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,85.59802750982163
01/11/2018,5,3.3,72,0.0,1946,-1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,139.06245502807576
01/11/2018,6,2.9,75,0.2,1761,-1.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,191.24459718727257
01/11/2018,7,2.5,75,0.5,1763,-1.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,447.1316837973825
01/11/2018,8,2.8,74,0.9,1366,-1.3,0.13,0.0,0.0,,No Holiday,Yes,853.7235300573017
01/11/2018,9,4.7,60,0.9,1219,-2.4,0.82,0.0,0.0,Autumn,No Holiday,Yes,611.3672624241033
01/11/2018,10,8.1,51,0.7,1100,-1.4,1.38,0.0,0.0,Autumn,No Holiday,Yes,640.5323885509617
01/11/2018,11,11.1,46,1.6,1518,-0.1,1.84,0.0,0.0,Autumn,No Holiday,Yes,805.4043624531537
01/11/2018,12,12.6,36,,1785,-2.1,2.14,0.0,0.0,Autumn,No Holiday,Yes,865.4745374150854
01/11/2018,13,13.6,32,1.8,1814,-2.8,2.22,0.0,0.0,Autumn,No Holiday,Yes,811.2230023843305
01/11/2018,14,14.9,31,2.5,1872,-2.1,2.06,0.0,0.0,Autumn,No Holiday,Yes,888.5584076185608
01/11/2018,15,14.8,30,2.7,1990,-2.6,1.71,0.0,0.0,Autumn,No Holiday,Yes,971.3078359439803
01/11/2018,16,14.7,32,2.0,1934,-1.8,1.13,0.0,0.0,Autumn,No Holiday,Yes,1056.854378370195
01/11/2018,17,13.7,37,1.4,2000,-0.7,0.49,0.0,0.0,Autumn,No Holiday,Yes,1505.6178460722183
01/11/2018,18,11.8,43,,1995,-0.3,0.03,0.0,0.0,Autumn,No Holiday,Yes,1521.6964810356537
01/11/2018,19,10.5,49,1.2,1965,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1188.9179148411645
01/11/2018,20,,53,1.7,1868,0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,921.8670174264415
01/11/2018,21,9.3,54,1.1,1975,0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1074.4355406958118
01/11/2018,22,8.3,61,0.2,1809,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,972.1023400312022
01/11/2018,23,7.8,63,0.4,1547,1.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,776.0574530766554
02/11/2018,0,7.2,64,1.0,1639,0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,405.45161915332875
02/11/2018,1,6.6,69,0.0,1512,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,399.0000517879356
02/11/2018,2,6.1,68,0.5,1519,0.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,255.92120008857026
02/11/2018,3,5.7,72,0.8,1368,1.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,154.99136110995602
02/11/2018,4,5.2,74,1.3,1386,0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,103.57126520792598
02/11/2018,5,4.8,75,0.7,1471,0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,120.98219638750463
02/11/2018,6,4.5,77,1.0,1410,0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,237.4139535743294
02/11/2018,7,,75,0.8,1143,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,356.13936215201585
02/11/2018,8,4.7,72,,1306,0.0,0.12,0.0,0.0,Autumn,No Holiday,Yes,1010.1448532000776
02/11/2018,9,7.0,57,0.7,1553,-0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,724.4114762884437
02/11/2018,10,10.0,49,1.2,1411,-0.2,1.4,0.0,0.0,Autumn,No Holiday,Yes,680.1024790564509
02/11/2018,11,12.8,44,1.0,1269,0.8,1.84,0.0,0.0,Autumn,No Holiday,Yes,836.2289539174145
02/11/2018,12,14.9,40,1.1,1288,1.4,2.06,0.0,0.0,Autumn,No Holiday,Yes,952.162088592502
02/11/2018,13,16.5,37,1.2,1400,1.7,2.12,0.0,0.0,Autumn,No Holiday,Yes,1118.2848579695146
02/11/2018,14,18.0,31,1.2,1506,0.5,1.98,0.0,0.0,,No Holiday,Yes,1252.374984889825
02/11/2018,15,18.6,31,1.4,1575,1.1,1.63,0.0,0.0,Autumn,No Holiday,Yes,1368.1923485576967
02/11/2018,16,18.8,32,1.4,1717,1.7,1.09,0.0,0.0,Autumn,No Holiday,Yes,1567.8589238024856
02/11/2018,17,17.0,36,1.5,1672,1.8,0.47,0.0,0.0,Autumn,No Holiday,Yes,1603.1672366860466
02/11/2018,18,14.6,42,1.4,1428,1.8,0.02,0.0,0.0,Autumn,No Holiday,Yes,1875.2268545510683
02/11/2018,19,12.8,40,,1870,-0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1165.590957167587
02/11/2018,20,11.7,45,1.2,1748,0.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1292.459243900775
02/11/2018,21,10.8,57,2.0,1219,2.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,887.0139513330545
02/11/2018,22,10.0,56,2.0,1290,1.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,832.745444368647
02/11/2018,23,9.7,56,1.3,1423,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,674.3027096123852
03/11/2018,0,8.8,63,0.6,1314,2.1,0.0,0.0,0.0,Autumn,No Holiday,No,575.7193810888876
03/11/2018,1,8.5,61,0.2,1273,1.3,0.0,0.0,0.0,Autumn,No Holiday,No,473.318842598663
03/11/2018,2,,68,1.2,1170,2.0,0.0,0.0,0.0,Autumn,No Holiday,No,252.19984186416175
03/11/2018,3,7.1,67,,1229,1.3,0.0,0.0,0.0,Autumn,No Holiday,No,170.61377322654752
03/11/2018,4,6.3,72,,1104,1.6,0.0,0.0,0.0,Autumn,No Holiday,No,133.30758258101073
03/11/2018,5,6.1,75,1.0,1053,1.9,0.0,0.0,0.0,Autumn,No Holiday,No,135.61972977999682
03/11/2018,6,5.5,78,0.6,983,1.9,0.0,0.0,0.0,,No Holiday,No,227.54341721746178
03/11/2018,7,,79,1.3,894,1.8,0.0,0.0,0.0,Autumn,No Holiday,No,385.4833320036532
03/11/2018,8,5.4,75,0.4,905,1.3,0.11,0.0,0.0,Autumn,No Holiday,No,875.512008407895
03/11/2018,9,7.9,58,1.3,1033,0.1,0.8,0.0,0.0,Autumn,No Holiday,No,755.0023091788463
03/11/2018,10,,49,0.7,957,0.6,1.4,0.0,0.0,Autumn,No Holiday,No,538.99415003626
03/11/2018,11,14.5,42,1.6,890,1.7,1.85,0.0,0.0,Autumn,No Holiday,No,824.3911456887079
03/11/2018,12,16.5,37,1.8,1060,1.7,2.14,0.0,0.0,Autumn,No Holiday,No,955.4372265371594
03/11/2018,13,17.8,29,2.0,1328,-0.4,2.17,0.0,0.0,Autumn,No Holiday,No,1093.7972898250423
